new file \n Binary files / dev / null and b / art / intro . png differ \n,Added intro image .,repo70
src / commons / grails / util / GrailsUtil . java \n - import java . io . PrintStream ; \n,remove unused import statement,repo353
"actor - server / version . sbt \n - version in ThisBuild : = "" 1 . 0 . 115 - SNAPSHOT "" \n + version in ThisBuild : = "" 1 . 0 . 115 "" \n",setting version to 1 . 0 . 115,repo194
compiler / build . gradle \n - all ( ) * . dependsOn ' java_pluginExecutable ' \n + all ( ) . each { task - > \n + task . dependsOn ' java_pluginExecutable ' \n + task . inputs . file javaPluginPath \n + } \n,Fix change detection for compiler testing,repo328
new file \n Binary files / dev / null and b / docs / AHCQuickStartGuide . docx differ \n new file \n Binary files / dev / null and b / docs / AHCQuickStartGuide . pdf differ \n,Push a AHC Quick Start Guide,repo171
android / sdk / build . gradle \n + allprojects { \n + repositories { \n + jcenter ( ) \n + } \n + } \n + \n,update build . gradle support simple use idk,repo39
pom . xml \n - < version > 6 . 19 < / version > \n + < version > 6 . 20 - SNAPSHOT < / version > \n,prepare for next development iteration,repo144
"app / src / main / res / menu / menu_sort . xml \n + android : menuCategory = "" secondary "" \n",Reorder options menu,repo919
plugins / hg4idea / testData / repo / dot_hg / hgrc \n + \n + [ extensions ] \n + sparse = ! \n,switch off unsupported sparse extensions for our hg version ( 2 . 6 . 2 ),repo145
py / testdir_single_jvm / test_randomFilter . py \n - # SEED = \n + SEED = 6019110937119320453 \n,forced the SEED to be a constant to match failing jenkins,repo316
. hgignore \n + * ~ \n,ignore * ~ from hg,repo283
Sample / src / main / project . properties \n - android . library . reference . 1 = . . \ \ . . \ \ . . \ \ DanmakuFlameMaster \ \ src \ \ main \n + android . library . reference . 1 = . . / . . / . . / DanmakuFlameMaster / src / main \n,update project . properties,repo139
CHANGES . txt \n + * CFS . loadNewSSTables ( ) broken for pre - 3 . 0 sstables \n,ninja - add missing entry in CHANGES . txt for CASSANDRA - 10237,repo183
crypto / crypto . gradle \n - dependencies { \n + jdkVersion = System . properties [ ' java . version ' ] \n + isJdk6 = jdkVersion > = ' 1 . 6 ' \n + test { \n + if ( ! isJdk6 ) { \n + exclude ' * * / EncryptorsTests . class ' \n + } \n,Skip EncryptorsTests when using < JDK 1 . 6 as AES isn ' t available,repo624
README . md \n + * Watch age restricted material \n,add age restricted material to description,repo949
"app / src / main / res / menu / example_menu . xml \n - android : icon = "" @ drawable / ic_launcher "" \n",remove icon from sample menu inflated drawer,repo45
java / java - impl / src / com / intellij / unscramble / UnscrambleListener . java \n - if ( SystemInfo . isMac ) return ; \n - \n,get back automatic stacktrace analyzer on mac,repo145
grails - plugin - controllers / src / main / groovy / org / grails / plugins / web / controllers / ControllersGrailsPlugin . groovy \n - simpleControllerHandlerAdapter ( UrlMappingsInfoHandlerAdapter ) \n,Remove duplicate bean already provided by UrlMappingsGrailsPlugin,repo353
Binary files a / lib / installer - exclude / libjitsi . jar and b / lib / installer - exclude / libjitsi . jar differ \n new file \n Binary files / dev / null and b / lib / native / mac / libjncoreaudio . jnilib differ \n,Adds microphone hardware amplification for MacOSX via CoreAudio .,repo794
deleted file \n Binary files a / libs / asmack - android - 4 . jar and / dev / null differ \n deleted file \n libs / asmack - android - 4 . jar . properties \n - src = . . / external / asmack / build / src / trunk \n,upgrading asmack jar to support custom ciphersuites,repo846
new file \n Binary files / dev / null and b / JodaTimeContrib / presentation / JodaTime . sxi differ \n,Add Joda - Time OpenOffice presentation ( created with v1 . 1 . 4 ),repo244
"core / java / android / provider / Settings . java \n - NOTIFICATION_LIGHT_PULSE , \n","Do not back up / restore the "" pulse LED for notifications "" setting",repo67
deleted file \n src / main / java / org / scribe / model / OAuthParams . java \n - package org . scribe . model ; \n - \n - public class OAuthParams \n - { \n - \n - } \n,Removed unused file,repo109
. gitignore \n + * . sublime - * \n,Adding ignore for Sublime Text 2 project files .,repo109
src / rajawali / animation / mesh / AAnimationObject3D . java \n + public boolean isPlaying ( ) { \n + return mIsPlaying ; \n + } \n + \n,Add isPlaying ( ) to animation objects,repo766
"gradle / analytics . gradle \n - classpath group : ' com . gradleware . analytics ' , name : ' analytics - plugin ' , version : ' 0 . 1 - 20140912030554 ' \n + classpath group : ' com . gradleware . analytics ' , name : ' analytics - plugin ' , version : ' 0 . 1 - 20140912042052 ' \n",bump analytics plugin version again,repo109
pom . xml \n - < version > 1 . 0 . 2 < / version > \n + < version > 1 . 0 . 3 < / version > \n,Changed version number,repo132
deleted file \n tools / bazel . rc \n - build : android - - crosstool_top = @ androidndk / / : toolchain - - host_crosstool_top = / / tools / cpp : toolchain \n,Delete unused bazel . rc file .,repo73
"WordPress / build . gradle \n - versionName "" alpha - 8 "" \n - versionCode 260 \n + versionName "" alpha - 9 "" \n + versionCode 262 \n",bump to version alpha - 9,repo644
Binary files a / data / fonts / DroidSansDevanagari - Regular . ttf and b / data / fonts / DroidSansDevanagari - Regular . ttf differ \n,Hindi rendering regression in WebView,repo67
v7 / mediarouter / build . gradle \n - compileSdkVersion 19 \n + compileSdkVersion ' current ' \n,Fix support compilation .,repo954
server / sonar - web / src / main / less / issues . less \n - overflow - x : auto ; \n,SONAR - 5718 Fix infinite scrolling in FF,repo639
"build . gradle \n - javaVersion = 1 . 6 \n + jdkName = "" 1 . 6 "" \n + languageLevel = "" 1 . 5 "" \n",fixed IDEA build configuration,repo675
library / src / main / java / com / mikepenz / materialdrawer / AccountHeaderBuilder . java \n - protected boolean mDividerBelowHeader = false ; \n + protected boolean mDividerBelowHeader = true ; \n,switch back the divider to true so the behavior keeps the same for people,repo45
subprojects / performance / src / templates / java - sw - model - project / build . gradle \n - exports ' t $ { it } ' \n + exports ' $ { it } ' \n,Fix typo in package export,repo109
"facebook / BUCK \n + \n + project_config ( \n + src_target = ' : android - sdk ' , \n + src_roots = [ ' src ' ] , \n + ) \n deleted file \n facebook / libs \n - . . / libs \n",Add project_config to sdk module,repo111
pom . xml \n - < version > 0 . 1 < / version > \n + < version > 0 . 2 < / version > \n,Bump k9,repo857
new file \n Binary files / dev / null and b / bbb - images / vm / vm_boot . png differ \n new file \n Binary files / dev / null and b / bbb - images / vm / vm_icons . png differ \n,added images for installing BigBlueButton VM,repo428
"LICENSE \n - Copyright ( c ) 2009 , 2010 Jonathan Hedley < jonathan @ hedley . net > \n + Copyright ( c ) 2009 , 2010 , 2011 Jonathan Hedley < jonathan @ hedley . net > \n",Updated copyright date,repo151
src / main / java / water / fvec / DatasetCompare . java \n - import hex . GLMTest2 ; \n,Remove unneeded import .,repo316
"subprojects / launcher / src / integTest / groovy / org / gradle / launcher / SystemClassLoaderTest . groovy \n - succeeds loadClasses \n + succeeds "" loadClasses "" \n",Add missing quotes around task name .,repo109
CHANGELOG . textile \n + * Broke @ BlueprintsGraphOutputMapReduce @ into a MapReduce and then a Map ( increases edge loading time ) \n,updated CHANGELOG . textile .,repo108
python / build / pycharm_build . gant \n - superLayouts . packJetBrainsChromeExtension ( target ) \n,publish chrome ext to chrome webstore,repo145
. gitignore \n + . * . swp \n,Add vim swp files to gitignore .,repo73
new file \n py / testdir_release / doRunit . sh \n + \n + . / runner_Runit . sh - d testdir_golden - t runit_glm2_5_golden - u \n,run a single runit,repo316
new file \n . travis . yml \n + sudo : false \n + language : java \n + jdk : \n + - oraclejdk7 \n + - openjdk7 \n + before_install : ' mvn - version ' \n + install : ' mvn clean install ' \n,Add Travis here as well,repo210
manual / README . asciidoc \n + = = = With apt - get on Ubuntu = = = \n + \n + sudo apt - get install asciidoc docbook graphviz w3m \n + \n,Added information on how to install the toolset in Ubuntu,repo181
". gitignore \n - site / docs / { _book , node_modules } \n + site / docs / { _book / , node_modules / } \n",modify gitignore,repo251
new file \n Binary files / dev / null and b / resources / images / impl / gui / buttons / diezRollover . png differ \n deleted file \n Binary files a / resources / images / impl / gui / buttons / diezpressed . png and / dev / null differ \n,Fixes missing img .,repo794
"portal - impl / src / com / liferay / portlet / PortletURLImpl . java \n + \n + _layoutFriendlyURL = HttpUtil . protocolize ( \n + _layoutFriendlyURL , _secure ) ; \n",LPS - 14623 Fix secure portlet URLs generated on unsecure pages of virtual hosted communities,repo934
new file \n . gitignore \n + # Intellij \n + . idea / \n + * . iml \n + * . iws \n + * . eml \n + out / \n,ignoring IntelliJ IDEA files,repo453
presto - product - tests / conf / tempto / tempto - configuration - for - docker - kerberos . yaml \n - configured_hdfs_user : hive \n + configured_hdfs_user : hdfs \n,Revert back HDFS user value in Kerberos Tempto config,repo66
new file \n Binary files / dev / null and b / libs / android - support - v13 . jar differ \n,"Add support library , to be used for ViewPagers",repo714
pom . xml \n - < version > 3 . 0 . 0 < / version > \n + < version > 2 . 4 < / version > \n,Revert source plugin to 2 . 4,repo983
build . gradle \n - classpath ' com . android . tools . build : gradle : 2 . 1 . 3 ' \n + classpath ' com . android . tools . build : gradle : 2 . 2 . 0 ' \n,Upgrade gradle plugin to 2 . 2 . 0,repo386
CHANGELOG . md \n + * STORM - 791 : Storm UI displays maps in the config incorrectly \n,Added STORM - 791 to Changelog,repo137
. gitignore \n - Application / LinkBubble / crashlytics . properties \n + Application / LinkBubble / fabric . properties \n rename from Application / LinkBubble / crashlytics . properties . template \n rename to Application / LinkBubble / fabric . properties . template \n,rename crashlytics . properties . template to fabric . properties . template,repo875
app / PdeBase . java \n + normalItem . setState ( true ) ; \n,Set the default rendered to not be OpenGL ; patch from Ben .,repo185
Binary files a / sdk / jme3 - lwjgl - applet / release / libs / applet - loader . zip and b / sdk / jme3 - lwjgl - applet / release / libs / applet - loader . zip differ \n,update applet zip,repo728
"dubbo - maven / pom . xml \n - Copyright 1999 - 2011 Alibaba Group . \n + < ! - - \n + - Copyright 1999 - 2011 Alibaba Group . \n - \n - Licensed under the Apache License , Version 2 . 0 ( the "" License "" ) ; \n - you may not use this file except in compliance with the License . \n",add dubbo - maven,repo52
. travis . yml \n - oraclejdk8 \n - sudo apt - get update - qq \n - - sudo apt - get install - qq exuberant - ctags cvs git mercurial cssc bzr subversion monotone \n + - sudo apt - get install - qq exuberant - ctags cvs git mercurial cssc bzr subversion monotone rcs \n,install rcs,repo895
gradle . properties \n - version = 0 . 8 . 2 - SNAPSHOT \n + version = 0 . 8 . 3 - SNAPSHOT \n,bump up release version to 0 . 8 . 3,repo117
demo / income_prediction / src / main / resources / income_prediction . conf \n - max_tree_depth : 7 \n + max_tree_depth_1_dimension : 7 \n + max_tree_depth_per_dimension : 4 \n + \n,update sample ' s conf for dynamic bucketing,repo150
Binary files a / lib / development / com . liferay . ant . bnd . jar and b / lib / development / com . liferay . ant . bnd . jar differ \n,LPS - 54506 use new jar,repo934
new file \n Binary files / dev / null and b / lib / native / windows - 64 / jspeex . dll differ \n new file \n Binary files / dev / null and b / lib / native / windows / jspeex . dll differ \n,Add jspeex . dll for Windows 32 - bit and 64 - bit .,repo794
gremlin - plugin / src / main / resources / META - INF / services / org . neo4j . server . plugins . ServerPlugin \n - com . tinkerpop . gremlin . GremlinScriptEngineFactory \n + org . neo4j . server . plugin . gremlin . GremlinPlugin \n,adjusting faulty service string,repo181
core / jni / android_location_GpsLocationProvider . cpp \n + return true ; \n,Fix missing return value in android_location_GpsLocationProvider_init,repo67
"NOTICE . txt \n - Copyright 2011 Netlix , Inc . \n + Copyright 2011 Netflix , Inc . \n",Fixed typo,repo604
README . md \n - Also also handle high volume reads and writes per second from thousands of clients . \n + Also handle high volume reads and writes per second from thousands of clients . \n,Text change - Double also ( # 8 ),repo330
pom . xml \n + < Eclipse - BuddyPolicy > registered < / Eclipse - BuddyPolicy > \n + < Bundle - BuddyPolicy > registered < / Bundle - BuddyPolicy > \n,NETTY - 371 OSGi Manifest requires Bundle - BuddyPolicy for,repo27
"labs / demos / lib / testapi . coffee \n - joinParams . password = "" mp "" \n + joinParams . password = "" ap "" \n",Set HTML5 users ' initial status so that they are attendees by default .,repo428
policy / com / android / internal / policy / impl / PhoneWindowManager . java \n - private ContentQueryMap mSettings ; \n - \n,Remove unnused variable .,repo67
community / pom . xml \n - < version > 1 . 2 - SNAPSHOT < / version > \n + < version > 1 . 2 - 1 . 2 . M02 < / version > \n,Changed dependencies to milestone versions in preparation of tagging,repo181
